timestamp,eval_id,suite,case,phase,git_commit,source_dirty,model,status,assertions_passed,assertions_total,input_tokens,cached_input_tokens,uncached_input_tokens,output_tokens,reasoning_tokens,total_tokens,duration_ms,report,workflow_id,run_id,verify_score,verify_checks_passed,verify_checks_total,verify_checks_failed,verify_pass_rate,verify_avg_diff_ratio,verify_max_diff_ratio,verify_issues_critical,verify_issues_major,verify_issues_minor,verify_initial_score,verify_score_delta,verify_story_ids,verify_reference_urls,verify_breakpoints,verify_thresholds_json,verify_checks_json,cli,cache_write_input_tokens,usage_source,usage_scope,subagent_count,subagent_input_tokens,subagent_output_tokens,reasoning_effort,evidence_dir
"2026-09-07T10:36:19.751Z","eval-FDd-2026-09-07T10:28:12","drupal-petshop","design-entity","main","ef28b29694c01cd908fd60c98497772417019ea0","false","gpt-6-astra","pass","5","5","1953049","1874688","78361","9036","395","1962085","487067","assets-ai/DESIGNBOOK-57/hash-design-entity/main.json","design-entity","assets-ai/DESIGNBOOK-57/hash-design-entity","","","","","","","","","","","","","","","","","","codex","0","","","","","","",""
"2026-09-07T10:38:17.606Z","eval-Bk4-2026-09-07T10:28:12","drupal-petshop","design-component","main","ef28b29694c01cd908fd60c98497772417019ea0","false","gpt-6-astra","pass","5","5","2958971","2844672","114299","11512","894","2970483","604957","assets-ai/DESIGNBOOK-57/hash-design-component/main.json","design-component","assets-ai/DESIGNBOOK-57/hash-design-component","","","","","","","","","","","","","","","","","","codex","0","","","","","","",""
"2026-09-07T10:40:51.527Z","eval-hwx-2026-09-07T10:28:12","drupal-petshop","design-screen","main","ef28b29694c01cd908fd60c98497772417019ea0","false","gpt-6-astra","fail","3","5","3578579","3479296","99283","16584","2117","3595163","758602","assets-ai/DESIGNBOOK-57/hash-design-screen/main.json","design-screen","assets-ai/DESIGNBOOK-57/hash-design-screen","","","","","","","","","","","","","","","","","","codex","0","","","","","","",""
"2026-09-07T10:46:30.486Z","eval-16v-2026-09-07T10:36:55","drupal-petshop","design-shell","main","ef28b29694c01cd908fd60c98497772417019ea0","false","gpt-6-astra","pass","5","5","2642657","2546688","95969","12132","1042","2654789","574755","assets-ai/DESIGNBOOK-57/hash2-design-shell/main.json","design-shell","assets-ai/DESIGNBOOK-57/hash2-design-shell","","","","","","","","","","","","","","","","","","codex","0","","","","","","",""
"2026-09-07T10:49:28.338Z","eval-Uzu-2026-09-07T10:39:55","drupal-petshop","design-component-update","main","ef28b29694c01cd908fd60c98497772417019ea0","false","gpt-6-astra","pass","5","5","2544474","2458240","86234","10649","937","2555123","573112","assets-ai/DESIGNBOOK-57/hash2-design-component-update/main.json","design-component-update","assets-ai/DESIGNBOOK-57/hash2-design-component-update","","","","","","","","","","","","","","","","","","codex","0","","","","","","",""
"2026-09-07T10:54:31.257Z","eval-yyF-2026-09-07T10:41:29","drupal-petshop","design-screen","main","ef28b29694c01cd908fd60c98497772417019ea0","false","gpt-6-astra","pass","5","5","4201659","4082432","119227","16410","2017","4218069","781335","assets-ai/DESIGNBOOK-57/hash2-design-screen/main.json","design-screen","assets-ai/DESIGNBOOK-57/hash2-design-screen","","","","","","","","","","","","","","","","","","codex","0","","","","","","",""
"2026-09-07T12:27:01.210Z","01a07bd1-6cd8-7b30-95a2-f82969292094","cli-preflight","grok-tool-smoke","preflight","90a8e5ef36c4e8c8b55b1bda32a80af4a0414e23","true","grok-4.6","pass","0","0","66125","33024","33101","125","","66250","13570","promptfoo/reports/designbook-58-preflight/grok-smoke.jsonl","","designbook-58-preflight","","","","","","","","","","","","","","","","","","grok","0","grok-native","session-no-subagents","0","0","0","cli-default","promptfoo/reports/designbook-58-preflight"
"2026-09-07T12:39:03.427Z","eval-Hkj-2026-09-07T12:27:20","drupal-web","design-shell","main","732b84f5b26b88bdee6547261bcf9e166b2021a9","false","gpt-5.6-luna","pass","7","7","6594769","6356224","238545","21160","4537","6615929","697202","promptfoo/reports/designbook-58-shell-diagnostic-01/main.json","design-shell","promptfoo/reports/designbook-58-shell-diagnostic-01","","","","","","","","","","","","","","","","","","codex","0","codex-native","thread-tree","0","0","0","medium","/home/cw/projects/designbook/.gaia-worktrees/feat/designbook-58-designbook/promptfoo/reports/designbook-58-shell-diagnostic-01/design-shell-main-MwWwS9/evidence/run-hyMrnQ"
"2026-09-07T12:49:40.861Z","eval-Ula-2026-09-07T12:39:10","drupal-web","design-shell","verify","732b84f5b26b88bdee6547261bcf9e166b2021a9","false","gpt-5.6-luna","fail","2","3","7141282","6902784","238498","21270","4364","7162552","627786","promptfoo/reports/designbook-58-shell-diagnostic-01/verify.json","design-verify","promptfoo/reports/designbook-58-shell-diagnostic-01","12","0","4","4","0","0.70095","0.7731","4","","","12","0","[""designbook-design-system-scenes--shell""]","[""https://leando.de/""]","[""sm"",""xl""]","[{""story_id"":""designbook-design-system-scenes--shell"",""threshold_ratio"":0.03}]","[{""story_id"":""designbook-design-system-scenes--shell"",""breakpoint"":""sm"",""element"":""header"",""score"":3,""passed"":false,""diff_ratio"":0.6158,""critical"":1},{""story_id"":""designbook-design-system-scenes--shell"",""breakpoint"":""xl"",""element"":""header"",""score"":3,""passed"":false,""diff_ratio"":0.6743,""critical"":1},{""story_id"":""designbook-design-system-scenes--shell"",""breakpoint"":""sm"",""element"":""footer"",""score"":3,""passed"":false,""diff_ratio"":0.7406,""critical"":1},{""story_id"":""designbook-design-system-scenes--shell"",""breakpoint"":""xl"",""element"":""footer"",""score"":3,""passed"":false,""diff_ratio"":0.7731,""critical"":1}]","codex","0","codex-native","thread-tree","0","0","0","medium","/home/cw/projects/designbook/.gaia-worktrees/feat/designbook-58-designbook/promptfoo/reports/designbook-58-shell-diagnostic-01/design-shell-main-MwWwS9/verify-evidence/run-GMb7ex"
"2026-09-07T13:10:54.870Z","eval-3kh-2026-09-07T12:56:11","drupal-web","design-shell","main","651a6580b99c385d755e301d3bea43c4203ebf6c","true","gpt-5.6-luna","fail","7","8","6472776","6157568","315208","20295","4436","6493071","882220","promptfoo/reports/designbook-58-shell-diagnostic-02/main.json","design-shell","promptfoo/reports/designbook-58-shell-diagnostic-02","","","","","","","","","","","","","","","","","","codex","0","codex-native","thread-tree","0","0","0","medium","/home/cw/projects/designbook/.gaia-worktrees/feat/designbook-58-designbook/promptfoo/reports/designbook-58-shell-diagnostic-02/design-shell-main-2niPJ1/evidence/run-ISUPEe"
"2026-09-07T13:19:47.641Z","eval-U1G-2026-09-07T13:10:57","drupal-web","design-shell","verify","651a6580b99c385d755e301d3bea43c4203ebf6c","true","gpt-5.6-luna","fail","2","3","4665953","4499456","166497","19676","6130","4685629","528872","promptfoo/reports/designbook-58-shell-diagnostic-02/verify.json","design-verify","promptfoo/reports/designbook-58-shell-diagnostic-02","6","2","4","2","0.5","0.0036","0.006999999999999999","2","0","0","6","0","[""designbook-design-system-scenes--shell""]","[""https://leando.de/""]","[""sm"",""xl""]","[{""story_id"":""designbook-design-system-scenes--shell"",""threshold_ratio"":0.03}]","[{""story_id"":""designbook-design-system-scenes--shell"",""breakpoint"":""sm"",""element"":""scene-header"",""score"":3,""passed"":false,""diff_ratio"":0.006999999999999999,""critical"":1,""major"":0,""minor"":0},{""story_id"":""designbook-design-system-scenes--shell"",""breakpoint"":""xl"",""element"":""scene-header"",""score"":3,""passed"":false,""diff_ratio"":0.0058,""critical"":1,""major"":0,""minor"":0},{""story_id"":""designbook-design-system-scenes--shell"",""breakpoint"":""sm"",""element"":""scene-footer"",""score"":0,""passed"":true,""diff_ratio"":0.0011,""critical"":0,""major"":0,""minor"":0},{""story_id"":""designbook-design-system-scenes--shell"",""breakpoint"":""xl"",""element"":""scene-footer"",""score"":0,""passed"":true,""diff_ratio"":0.0005,""critical"":0,""major"":0,""minor"":0}]","codex","0","codex-native","thread-tree","0","0","0","medium","/home/cw/projects/designbook/.gaia-worktrees/feat/designbook-58-designbook/promptfoo/reports/designbook-58-shell-diagnostic-02/design-shell-main-2niPJ1/verify-evidence/run-BoOyH5"
"2026-09-07T13:30:36.364Z","eval-5dp-2026-09-07T13:24:49","drupal-petshop","vision","main","3f68f2b9322914fc4085763d91e36e3b04970995","false","grok-4.6","pass","10","10","2440787","2327040","113747","14634","","2455421","342827","promptfoo/reports/designbook-58-grok-preflight/main.json","vision","promptfoo/reports/designbook-58-grok-preflight","","","","","","","","","","","","","","","","","","grok","0","grok-native","session-no-subagents","0","0","0","cli-default","/home/cw/projects/designbook/.gaia-worktrees/feat/designbook-58-designbook/promptfoo/reports/designbook-58-grok-preflight/vision-main-NPLZfr/evidence/run-rjPK9x"
